mwo_id,equipment_id,description,status,dm_urgency,hm_priority,assigned_tech,consumed_sku,manual_log,start_date
MWO-2026-121,EQ-21,Routine check 121,UNASSIGNED,Normal,Normal,,,,
MWO-2026-122,EQ-22,Routine check 122,UNASSIGNED,Normal,Normal,,,,
MWO-2026-123,EQ-23,Routine check 123,UNASSIGNED,Normal,Normal,,,,
MWO-2026-124,EQ-24,Routine check 124,UNASSIGNED,Normal,Normal,,,,
MWO-2026-125,EQ-25,Routine check 125,UNASSIGNED,Normal,Normal,,,,
MWO-2026-126,EQ-26,Routine check 126,UNASSIGNED,Normal,Normal,,,,
MWO-2026-127,EQ-27,Routine check 127,UNASSIGNED,Normal,Normal,,,,
MWO-2026-128,EQ-28,Routine check 128,UNASSIGNED,Normal,Normal,,,,
MWO-2026-129,EQ-29,Routine check 129,UNASSIGNED,Normal,Normal,,,,
MWO-2026-130,EQ-30,Routine check 130,UNASSIGNED,Normal,Normal,,,,
MWO-2026-131,EQ-31,Routine check 131,UNASSIGNED,Normal,Normal,,,,
MWO-2026-132,EQ-32,Routine check 132,UNASSIGNED,Normal,Normal,,,,
MWO-2026-133,EQ-33,Routine check 133,UNASSIGNED,Normal,Normal,,,,
MWO-2026-134,EQ-34,Routine check 134,UNASSIGNED,Normal,Normal,,,,
MWO-2026-135,EQ-35,Routine check 135,UNASSIGNED,Normal,Normal,,,,
MWO-2026-136,EQ-36,Routine check 136,UNASSIGNED,Normal,Normal,,,,
MWO-2026-137,EQ-37,Routine check 137,UNASSIGNED,Normal,Normal,,,,
MWO-2026-138,EQ-38,Routine check 138,UNASSIGNED,Normal,Normal,,,,
MWO-2026-139,EQ-39,Routine check 139,UNASSIGNED,Normal,Normal,,,,
MWO-2026-140,EQ-40,Routine check 140,UNASSIGNED,Normal,Normal,,,,
MWO-2026-141,EQ-41,Routine check 141,UNASSIGNED,Normal,Normal,,,,
MWO-2026-142,EQ-42,Routine check 142,UNASSIGNED,Normal,Normal,,,,
MWO-2026-143,EQ-43,Routine check 143,UNASSIGNED,Normal,Normal,,,,
MWO-2026-144,EQ-44,Routine check 144,UNASSIGNED,Normal,Normal,,,,
MWO-2026-145,EQ-45,Routine check 145,UNASSIGNED,Normal,Normal,,,,
MWO-2026-146,EQ-46,Routine check 146,UNASSIGNED,Normal,Normal,,,,
MWO-2026-147,EQ-47,Routine check 147,UNASSIGNED,Normal,Normal,,,,
MWO-2026-148,EQ-48,Routine check 148,UNASSIGNED,Normal,Normal,,,,
MWO-2026-149,EQ-49,Routine check 149,UNASSIGNED,Normal,Normal,,,,
MWO-2026-150,EQ-50,Routine check 150,UNASSIGNED,Normal,Normal,,,,
MWO-2026-151,EQ-51,Routine check 151,UNASSIGNED,Normal,Normal,,,,
MWO-2026-152,EQ-52,Routine check 152,UNASSIGNED,Normal,Normal,,,,
MWO-2026-153,EQ-53,Routine check 153,UNASSIGNED,Normal,Normal,,,,
MWO-2026-154,EQ-54,Routine check 154,UNASSIGNED,Normal,Normal,,,,
MWO-2026-155,EQ-55,Routine check 155,UNASSIGNED,Normal,Normal,,,,
MWO-2026-156,EQ-56,Routine check 156,UNASSIGNED,Normal,Normal,,,,
MWO-2026-157,EQ-57,Routine check 157,UNASSIGNED,Normal,Normal,,,,
MWO-2026-158,EQ-58,Routine check 158,UNASSIGNED,Normal,Normal,,,,
MWO-2026-159,EQ-59,Routine check 159,UNASSIGNED,Normal,Normal,,,,
MWO-2026-160,EQ-60,Routine check 160,UNASSIGNED,Normal,Normal,,,,
MWO-2026-161,EQ-61,Routine check 161,UNASSIGNED,Normal,Normal,,,,
MWO-2026-162,EQ-62,Routine check 162,UNASSIGNED,Normal,Normal,,,,
MWO-2026-163,EQ-63,Routine check 163,UNASSIGNED,Normal,Normal,,,,
MWO-2026-164,EQ-64,Routine check 164,UNASSIGNED,Normal,Normal,,,,
MWO-2026-165,EQ-65,Routine check 165,UNASSIGNED,Normal,Normal,,,,
MWO-2026-166,EQ-66,Routine check 166,UNASSIGNED,Normal,Normal,,,,
MWO-2026-167,EQ-67,Routine check 167,UNASSIGNED,Normal,Normal,,,,
MWO-2026-168,EQ-68,Routine check 168,UNASSIGNED,Normal,Normal,,,,
MWO-2026-169,EQ-69,Routine check 169,UNASSIGNED,Normal,Normal,,,,
MWO-2026-170,EQ-70,Routine check 170,UNASSIGNED,Normal,Normal,,,,
MWO-2026-171,EQ-71,Routine check 171,UNASSIGNED,Normal,Normal,,,,
MWO-2026-172,EQ-72,Routine check 172,UNASSIGNED,Normal,Normal,,,,
MWO-2026-173,EQ-73,Routine check 173,UNASSIGNED,Normal,Normal,,,,
MWO-2026-174,EQ-74,Routine check 174,UNASSIGNED,Normal,Normal,,,,
MWO-2026-175,EQ-75,Routine check 175,UNASSIGNED,Normal,Normal,,,,
MWO-2026-176,EQ-76,Routine check 176,UNASSIGNED,Normal,Normal,,,,
MWO-2026-177,EQ-77,Routine check 177,UNASSIGNED,Normal,Normal,,,,
MWO-2026-178,EQ-78,Routine check 178,UNASSIGNED,Normal,Normal,,,,
MWO-2026-179,EQ-79,Routine check 179,UNASSIGNED,Normal,Normal,,,,
MWO-2026-180,EQ-80,Routine check 180,UNASSIGNED,Normal,Normal,,,,
MWO-2026-181,EQ-81,Routine check 181,UNASSIGNED,Normal,Normal,,,,
MWO-2026-182,EQ-82,Routine check 182,UNASSIGNED,Normal,Normal,,,,
MWO-2026-183,EQ-83,Routine check 183,UNASSIGNED,Normal,Normal,,,,
MWO-2026-184,EQ-84,Routine check 184,UNASSIGNED,Normal,Normal,,,,
MWO-2026-185,EQ-85,Routine check 185,UNASSIGNED,Normal,Normal,,,,
MWO-2026-186,EQ-86,Routine check 186,UNASSIGNED,Normal,Normal,,,,
MWO-2026-187,EQ-87,Routine check 187,UNASSIGNED,Normal,Normal,,,,
MWO-2026-188,EQ-88,Routine check 188,UNASSIGNED,Normal,Normal,,,,
MWO-2026-189,EQ-89,Routine check 189,UNASSIGNED,Normal,Normal,,,,
MWO-2026-190,EQ-90,Routine check 190,UNASSIGNED,Normal,Normal,,,,
MWO-2026-191,EQ-91,Routine check 191,UNASSIGNED,Normal,Normal,,,,
MWO-2026-192,EQ-92,Routine check 192,UNASSIGNED,Normal,Normal,,,,
MWO-2026-193,EQ-93,Routine check 193,UNASSIGNED,Normal,Normal,,,,
MWO-2026-194,EQ-94,Routine check 194,UNASSIGNED,Normal,Normal,,,,
MWO-2026-195,EQ-95,Routine check 195,UNASSIGNED,Normal,Normal,,,,
MWO-2026-196,EQ-96,Routine check 196,UNASSIGNED,Normal,Normal,,,,
MWO-2026-197,EQ-97,Routine check 197,UNASSIGNED,Normal,Normal,,,,
MWO-2026-198,EQ-98,Routine check 198,UNASSIGNED,Normal,Normal,,,,
MWO-2026-199,EQ-99,Routine check 199,UNASSIGNED,Normal,Normal,,,,
MWO-2026-200,EQ-0,Routine check 200,UNASSIGNED,Normal,Normal,,,,
MWO-2026-201,EQ-1,Routine check 201,UNASSIGNED,Normal,Normal,,,,
MWO-2026-202,EQ-2,Routine check 202,UNASSIGNED,Normal,Normal,,,,
MWO-2026-203,EQ-3,Routine check 203,UNASSIGNED,Normal,Normal,,,,
MWO-2026-204,EQ-4,Routine check 204,UNASSIGNED,Normal,Normal,,,,
MWO-2026-205,EQ-5,Routine check 205,UNASSIGNED,Normal,Normal,,,,
MWO-2026-206,EQ-6,Routine check 206,UNASSIGNED,Normal,Normal,,,,
MWO-2026-207,EQ-7,Routine check 207,UNASSIGNED,Normal,Normal,,,,
MWO-2026-208,EQ-8,Routine check 208,UNASSIGNED,Normal,Normal,,,,
MWO-2026-209,EQ-9,Routine check 209,UNASSIGNED,Normal,Normal,,,,
MWO-2026-210,EQ-10,Routine check 210,UNASSIGNED,Normal,Normal,,,,
MWO-2026-211,EQ-11,Routine check 211,UNASSIGNED,Normal,Normal,,,,
MWO-2026-212,EQ-12,Routine check 212,UNASSIGNED,Normal,Normal,,,,
MWO-2026-213,EQ-13,Routine check 213,UNASSIGNED,Normal,Normal,,,,
MWO-2026-214,EQ-14,Routine check 214,UNASSIGNED,Normal,Normal,,,,
MWO-2026-215,EQ-15,Routine check 215,UNASSIGNED,Normal,Normal,,,,
MWO-2026-216,EQ-16,Routine check 216,UNASSIGNED,Normal,Normal,,,,
MWO-2026-217,EQ-17,Routine check 217,UNASSIGNED,Normal,Normal,,,,
MWO-2026-218,EQ-18,Routine check 218,UNASSIGNED,Normal,Normal,,,,
MWO-2026-219,EQ-19,Routine check 219,UNASSIGNED,Normal,Normal,,,,
MWO-2026-220,EQ-20,Routine check 220,UNASSIGNED,Normal,Normal,,,,
MWO-2026-221,EQ-21,Routine check 221,UNASSIGNED,Normal,Normal,,,,
MWO-2026-222,EQ-22,Routine check 222,UNASSIGNED,Normal,Normal,,,,
MWO-2026-223,EQ-23,Routine check 223,UNASSIGNED,Normal,Normal,,,,
MWO-2026-224,EQ-24,Routine check 224,UNASSIGNED,Normal,Normal,,,,
MWO-2026-225,EQ-25,Routine check 225,UNASSIGNED,Normal,Normal,,,,
MWO-2026-226,EQ-26,Routine check 226,UNASSIGNED,Normal,Normal,,,,
MWO-2026-227,EQ-27,Routine check 227,UNASSIGNED,Normal,Normal,,,,
MWO-2026-228,EQ-28,Routine check 228,UNASSIGNED,Normal,Normal,,,,
MWO-2026-229,EQ-29,Routine check 229,UNASSIGNED,Normal,Normal,,,,
MWO-2026-230,EQ-30,Routine check 230,UNASSIGNED,Normal,Normal,,,,
MWO-2026-231,EQ-31,Routine check 231,UNASSIGNED,Normal,Normal,,,,
MWO-2026-232,EQ-32,Routine check 232,UNASSIGNED,Normal,Normal,,,,
MWO-2026-233,EQ-33,Routine check 233,UNASSIGNED,Normal,Normal,,,,
MWO-2026-234,EQ-34,Routine check 234,UNASSIGNED,Normal,Normal,,,,
MWO-2026-235,EQ-35,Routine check 235,UNASSIGNED,Normal,Normal,,,,
MWO-2026-236,EQ-36,Routine check 236,UNASSIGNED,Normal,Normal,,,,
MWO-2026-237,EQ-37,Routine check 237,UNASSIGNED,Normal,Normal,,,,
MWO-2026-238,EQ-38,Routine check 238,UNASSIGNED,Normal,Normal,,,,
MWO-2026-239,EQ-39,Routine check 239,UNASSIGNED,Normal,Normal,,,,
MWO-2026-240,EQ-40,Routine check 240,UNASSIGNED,Normal,Normal,,,,
MWO-2026-241,EQ-41,Routine check 241,UNASSIGNED,Normal,Normal,,,,
MWO-2026-242,EQ-42,Routine check 242,UNASSIGNED,Normal,Normal,,,,
MWO-2026-243,EQ-43,Routine check 243,UNASSIGNED,Normal,Normal,,,,
MWO-2026-244,EQ-44,Routine check 244,UNASSIGNED,Normal,Normal,,,,
MWO-2026-245,EQ-45,Routine check 245,UNASSIGNED,Normal,Normal,,,,
MWO-2026-246,EQ-46,Routine check 246,UNASSIGNED,Normal,Normal,,,,
MWO-2026-247,EQ-47,Routine check 247,UNASSIGNED,Normal,Normal,,,,
MWO-2026-248,EQ-48,Routine check 248,UNASSIGNED,Normal,Normal,,,,
MWO-2026-249,EQ-49,Routine check 249,UNASSIGNED,Normal,Normal,,,,
MWO-2026-250,EQ-50,Routine check 250,UNASSIGNED,Normal,Normal,,,,
MWO-2026-251,EQ-51,Routine check 251,UNASSIGNED,Normal,Normal,,,,
MWO-2026-252,EQ-52,Routine check 252,UNASSIGNED,Normal,Normal,,,,
MWO-2026-253,EQ-53,Routine check 253,UNASSIGNED,Normal,Normal,,,,
MWO-2026-254,EQ-54,Routine check 254,UNASSIGNED,Normal,Normal,,,,
MWO-2026-255,EQ-55,Routine check 255,UNASSIGNED,Normal,Normal,,,,
MWO-2026-256,EQ-56,Routine check 256,UNASSIGNED,Normal,Normal,,,,
MWO-2026-257,EQ-57,Routine check 257,UNASSIGNED,Normal,Normal,,,,
MWO-2026-258,EQ-58,Routine check 258,UNASSIGNED,Normal,Normal,,,,
MWO-2026-259,EQ-59,Routine check 259,UNASSIGNED,Normal,Normal,,,,
MWO-2026-260,EQ-60,Routine check 260,UNASSIGNED,Normal,Normal,,,,
MWO-2026-261,EQ-61,Routine check 261,UNASSIGNED,Normal,Normal,,,,
MWO-2026-262,EQ-62,Routine check 262,UNASSIGNED,Normal,Normal,,,,
MWO-2026-263,EQ-63,Routine check 263,UNASSIGNED,Normal,Normal,,,,
MWO-2026-264,EQ-64,Routine check 264,UNASSIGNED,Normal,Normal,,,,
MWO-2026-265,EQ-65,Routine check 265,UNASSIGNED,Normal,Normal,,,,
MWO-2026-266,EQ-66,Routine check 266,UNASSIGNED,Normal,Normal,,,,
MWO-2026-267,EQ-67,Routine check 267,UNASSIGNED,Normal,Normal,,,,
MWO-2026-268,EQ-68,Routine check 268,UNASSIGNED,Normal,Normal,,,,
MWO-2026-269,EQ-69,Routine check 269,UNASSIGNED,Normal,Normal,,,,
MWO-2026-270,EQ-70,Routine check 270,UNASSIGNED,Normal,Normal,,,,
MWO-2026-271,EQ-71,Routine check 271,UNASSIGNED,Normal,Normal,,,,
MWO-2026-272,EQ-72,Routine check 272,UNASSIGNED,Normal,Normal,,,,
MWO-2026-273,EQ-73,Routine check 273,UNASSIGNED,Normal,Normal,,,,
MWO-2026-274,EQ-74,Routine check 274,UNASSIGNED,Normal,Normal,,,,
MWO-2026-275,EQ-75,Routine check 275,UNASSIGNED,Normal,Normal,,,,
MWO-2026-276,EQ-76,Routine check 276,UNASSIGNED,Normal,Normal,,,,
MWO-2026-277,EQ-77,Routine check 277,UNASSIGNED,Normal,Normal,,,,
MWO-2026-278,EQ-78,Routine check 278,UNASSIGNED,Normal,Normal,,,,
MWO-2026-279,EQ-79,Routine check 279,UNASSIGNED,Normal,Normal,,,,
MWO-2026-280,EQ-80,Routine check 280,UNASSIGNED,Normal,Normal,,,,
MWO-2026-281,EQ-81,Routine check 281,UNASSIGNED,Normal,Normal,,,,
MWO-2026-282,EQ-82,Routine check 282,UNASSIGNED,Normal,Normal,,,,
MWO-2026-283,EQ-83,Routine check 283,UNASSIGNED,Normal,Normal,,,,
MWO-2026-284,EQ-84,Routine check 284,UNASSIGNED,Normal,Normal,,,,
MWO-2026-285,EQ-85,Routine check 285,UNASSIGNED,Normal,Normal,,,,
MWO-2026-286,EQ-86,Routine check 286,UNASSIGNED,Normal,Normal,,,,
MWO-2026-287,EQ-87,Routine check 287,UNASSIGNED,Normal,Normal,,,,
MWO-2026-288,EQ-88,Routine check 288,UNASSIGNED,Normal,Normal,,,,
MWO-2026-289,EQ-89,Routine check 289,UNASSIGNED,Normal,Normal,,,,
MWO-2026-290,EQ-90,Routine check 290,UNASSIGNED,Normal,Normal,,,,
MWO-2026-291,EQ-91,Routine check 291,UNASSIGNED,Normal,Normal,,,,
MWO-2026-292,EQ-92,Routine check 292,UNASSIGNED,Normal,Normal,,,,
MWO-2026-293,EQ-93,Routine check 293,UNASSIGNED,Normal,Normal,,,,
MWO-2026-294,EQ-94,Routine check 294,UNASSIGNED,Normal,Normal,,,,
MWO-2026-295,EQ-95,Routine check 295,UNASSIGNED,Normal,Normal,,,,
MWO-2026-296,EQ-96,Routine check 296,UNASSIGNED,Normal,Normal,,,,
MWO-2026-297,EQ-97,Routine check 297,UNASSIGNED,Normal,Normal,,,,
MWO-2026-298,EQ-98,Routine check 298,UNASSIGNED,Normal,Normal,,,,
MWO-2026-299,EQ-99,Routine check 299,UNASSIGNED,Normal,Normal,,,,
MWO-2026-300,EQ-0,Routine check 300,UNASSIGNED,Normal,Normal,,,,
MWO-2026-301,EQ-1,Routine check 301,UNASSIGNED,Normal,Normal,,,,
MWO-2026-302,EQ-2,Routine check 302,UNASSIGNED,Normal,Normal,,,,
MWO-2026-303,EQ-3,Routine check 303,UNASSIGNED,Normal,Normal,,,,
MWO-2026-304,EQ-4,Routine check 304,UNASSIGNED,Normal,Normal,,,,
MWO-2026-305,EQ-5,Routine check 305,UNASSIGNED,Normal,Normal,,,,
MWO-2026-306,EQ-6,Routine check 306,UNASSIGNED,Normal,Normal,,,,
MWO-2026-307,EQ-7,Routine check 307,UNASSIGNED,Normal,Normal,,,,
MWO-2026-308,EQ-8,Routine check 308,UNASSIGNED,Normal,Normal,,,,
MWO-2026-309,EQ-9,Routine check 309,UNASSIGNED,Normal,Normal,,,,
MWO-2026-310,EQ-10,Routine check 310,UNASSIGNED,Normal,Normal,,,,
MWO-2026-311,EQ-11,Routine check 311,UNASSIGNED,Normal,Normal,,,,
MWO-2026-312,EQ-12,Routine check 312,UNASSIGNED,Normal,Normal,,,,
MWO-2026-313,EQ-13,Routine check 313,UNASSIGNED,Normal,Normal,,,,
MWO-2026-314,EQ-14,Routine check 314,UNASSIGNED,Normal,Normal,,,,
MWO-2026-315,EQ-15,Routine check 315,UNASSIGNED,Normal,Normal,,,,
MWO-2026-316,EQ-16,Routine check 316,UNASSIGNED,Normal,Normal,,,,
MWO-2026-317,EQ-17,Routine check 317,UNASSIGNED,Normal,Normal,,,,
MWO-2026-318,EQ-18,Routine check 318,UNASSIGNED,Normal,Normal,,,,
MWO-2026-319,EQ-19,Routine check 319,UNASSIGNED,Normal,Normal,,,,
MWO-2026-320,EQ-20,Routine check 320,UNASSIGNED,Normal,Normal,,,,
MWO-2026-321,EQ-21,Routine check 321,UNASSIGNED,Normal,Normal,,,,
MWO-2026-322,EQ-22,Routine check 322,UNASSIGNED,Normal,Normal,,,,
MWO-2026-323,EQ-23,Routine check 323,UNASSIGNED,Normal,Normal,,,,
MWO-2026-324,EQ-24,Routine check 324,UNASSIGNED,Normal,Normal,,,,
MWO-2026-325,EQ-25,Routine check 325,UNASSIGNED,Normal,Normal,,,,
MWO-2026-326,EQ-26,Routine check 326,UNASSIGNED,Normal,Normal,,,,
MWO-2026-327,EQ-27,Routine check 327,UNASSIGNED,Normal,Normal,,,,
MWO-2026-328,EQ-28,Routine check 328,UNASSIGNED,Normal,Normal,,,,
MWO-2026-329,EQ-29,Routine check 329,UNASSIGNED,Normal,Normal,,,,
MWO-2026-330,EQ-30,Routine check 330,UNASSIGNED,Normal,Normal,,,,
MWO-2026-331,EQ-31,Routine check 331,UNASSIGNED,Normal,Normal,,,,
MWO-2026-332,EQ-32,Routine check 332,UNASSIGNED,Normal,Normal,,,,
MWO-2026-333,EQ-33,Routine check 333,UNASSIGNED,Normal,Normal,,,,
MWO-2026-334,EQ-34,Routine check 334,UNASSIGNED,Normal,Normal,,,,
MWO-2026-335,EQ-35,Routine check 335,UNASSIGNED,Normal,Normal,,,,
MWO-2026-336,EQ-36,Routine check 336,UNASSIGNED,Normal,Normal,,,,
MWO-2026-337,EQ-37,Routine check 337,UNASSIGNED,Normal,Normal,,,,
MWO-2026-338,EQ-38,Routine check 338,UNASSIGNED,Normal,Normal,,,,
MWO-2026-339,EQ-39,Routine check 339,UNASSIGNED,Normal,Normal,,,,
MWO-2026-340,EQ-40,Routine check 340,UNASSIGNED,Normal,Normal,,,,
MWO-2026-341,EQ-41,Routine check 341,UNASSIGNED,Normal,Normal,,,,
MWO-2026-342,EQ-42,Routine check 342,UNASSIGNED,Normal,Normal,,,,
MWO-2026-343,EQ-43,Routine check 343,UNASSIGNED,Normal,Normal,,,,
MWO-2026-344,EQ-44,Routine check 344,UNASSIGNED,Normal,Normal,,,,
MWO-2026-345,EQ-45,Routine check 345,UNASSIGNED,Normal,Normal,,,,
MWO-2026-346,EQ-46,Routine check 346,UNASSIGNED,Normal,Normal,,,,
MWO-2026-347,EQ-47,Routine check 347,UNASSIGNED,Normal,Normal,,,,
MWO-2026-348,EQ-48,Routine check 348,UNASSIGNED,Normal,Normal,,,,
MWO-2026-349,EQ-49,Routine check 349,UNASSIGNED,Normal,Normal,,,,
MWO-2026-350,EQ-50,Routine check 350,UNASSIGNED,Normal,Normal,,,,
MWO-2026-351,EQ-51,Routine check 351,UNASSIGNED,Normal,Normal,,,,
MWO-2026-352,EQ-52,Routine check 352,UNASSIGNED,Normal,Normal,,,,
MWO-2026-353,EQ-53,Routine check 353,UNASSIGNED,Normal,Normal,,,,
MWO-2026-354,EQ-54,Routine check 354,UNASSIGNED,Normal,Normal,,,,
MWO-2026-355,EQ-55,Routine check 355,UNASSIGNED,Normal,Normal,,,,
MWO-2026-356,EQ-56,Routine check 356,UNASSIGNED,Normal,Normal,,,,
MWO-2026-357,EQ-57,Routine check 357,UNASSIGNED,Normal,Normal,,,,
MWO-2026-358,EQ-58,Routine check 358,UNASSIGNED,Normal,Normal,,,,
MWO-2026-359,EQ-59,Routine check 359,UNASSIGNED,Normal,Normal,,,,
MWO-2026-360,EQ-60,Routine check 360,UNASSIGNED,Normal,Normal,,,,
MWO-2026-361,EQ-61,Routine check 361,UNASSIGNED,Normal,Normal,,,,
MWO-2026-362,EQ-62,Routine check 362,UNASSIGNED,Normal,Normal,,,,
MWO-2026-363,EQ-63,Routine check 363,UNASSIGNED,Normal,Normal,,,,
MWO-2026-364,EQ-64,Routine check 364,UNASSIGNED,Normal,Normal,,,,
MWO-2026-365,EQ-65,Routine check 365,UNASSIGNED,Normal,Normal,,,,
MWO-2026-366,EQ-66,Routine check 366,UNASSIGNED,Normal,Normal,,,,
MWO-2026-367,EQ-67,Routine check 367,UNASSIGNED,Normal,Normal,,,,
MWO-2026-368,EQ-68,Routine check 368,UNASSIGNED,Normal,Normal,,,,
MWO-2026-369,EQ-69,Routine check 369,UNASSIGNED,Normal,Normal,,,,
MWO-2026-370,EQ-70,Routine check 370,UNASSIGNED,Normal,Normal,,,,
MWO-2026-371,EQ-71,Routine check 371,UNASSIGNED,Normal,Normal,,,,
MWO-2026-372,EQ-72,Routine check 372,UNASSIGNED,Normal,Normal,,,,
MWO-2026-373,EQ-73,Routine check 373,UNASSIGNED,Normal,Normal,,,,
MWO-2026-374,EQ-74,Routine check 374,UNASSIGNED,Normal,Normal,,,,
MWO-2026-375,EQ-75,Routine check 375,UNASSIGNED,Normal,Normal,,,,
MWO-2026-376,EQ-76,Routine check 376,UNASSIGNED,Normal,Normal,,,,
MWO-2026-377,EQ-77,Routine check 377,UNASSIGNED,Normal,Normal,,,,
MWO-2026-378,EQ-78,Routine check 378,UNASSIGNED,Normal,Normal,,,,
MWO-2026-379,EQ-79,Routine check 379,UNASSIGNED,Normal,Normal,,,,
MWO-2026-380,EQ-80,Routine check 380,UNASSIGNED,Normal,Normal,,,,
MWO-2026-381,EQ-81,Routine check 381,UNASSIGNED,Normal,Normal,,,,
MWO-2026-382,EQ-82,Routine check 382,UNASSIGNED,Normal,Normal,,,,
MWO-2026-383,EQ-83,Routine check 383,UNASSIGNED,Normal,Normal,,,,
MWO-2026-384,EQ-84,Routine check 384,UNASSIGNED,Normal,Normal,,,,
MWO-2026-385,EQ-85,Routine check 385,UNASSIGNED,Normal,Normal,,,,
MWO-2026-386,EQ-86,Routine check 386,UNASSIGNED,Normal,Normal,,,,
MWO-2026-387,EQ-87,Routine check 387,UNASSIGNED,Normal,Normal,,,,
MWO-2026-388,EQ-88,Routine check 388,UNASSIGNED,Normal,Normal,,,,
MWO-2026-389,EQ-89,Routine check 389,UNASSIGNED,Normal,Normal,,,,
MWO-2026-390,EQ-90,Routine check 390,UNASSIGNED,Normal,Normal,,,,
MWO-2026-391,EQ-91,Routine check 391,UNASSIGNED,Normal,Normal,,,,
MWO-2026-392,EQ-92,Routine check 392,UNASSIGNED,Normal,Normal,,,,
MWO-2026-393,EQ-93,Routine check 393,UNASSIGNED,Normal,Normal,,,,
MWO-2026-394,EQ-94,Routine check 394,UNASSIGNED,Normal,Normal,,,,
MWO-2026-395,EQ-95,Routine check 395,UNASSIGNED,Normal,Normal,,,,
MWO-2026-396,EQ-96,Routine check 396,UNASSIGNED,Normal,Normal,,,,
MWO-2026-397,EQ-97,Routine check 397,UNASSIGNED,Normal,Normal,,,,
MWO-2026-398,EQ-98,Routine check 398,UNASSIGNED,Normal,Normal,,,,
MWO-2026-399,EQ-99,Routine check 399,UNASSIGNED,Normal,Normal,,,,
MWO-2026-400,EQ-0,Routine check 400,UNASSIGNED,Normal,Normal,,,,
MWO-2026-401,EQ-1,Routine check 401,UNASSIGNED,Normal,Normal,,,,
MWO-2026-402,EQ-2,Routine check 402,UNASSIGNED,Normal,Normal,,,,
MWO-2026-403,EQ-3,Routine check 403,UNASSIGNED,Normal,Normal,,,,
MWO-2026-404,EQ-4,Routine check 404,UNASSIGNED,Normal,Normal,,,,
MWO-2026-405,EQ-5,Routine check 405,UNASSIGNED,Normal,Normal,,,,
MWO-2026-406,EQ-6,Routine check 406,UNASSIGNED,Normal,Normal,,,,
MWO-2026-407,EQ-7,Routine check 407,UNASSIGNED,Normal,Normal,,,,
MWO-2026-408,EQ-8,Routine check 408,UNASSIGNED,Normal,Normal,,,,
MWO-2026-409,EQ-9,Routine check 409,UNASSIGNED,Normal,Normal,,,,
MWO-2026-410,EQ-10,Routine check 410,UNASSIGNED,Normal,Normal,,,,
MWO-2026-411,EQ-11,Routine check 411,UNASSIGNED,Normal,Normal,,,,
MWO-2026-412,EQ-12,Routine check 412,UNASSIGNED,Normal,Normal,,,,
MWO-2026-413,EQ-13,Routine check 413,UNASSIGNED,Normal,Normal,,,,
MWO-2026-414,EQ-14,Routine check 414,UNASSIGNED,Normal,Normal,,,,
MWO-2026-415,EQ-15,Routine check 415,UNASSIGNED,Normal,Normal,,,,
MWO-2026-416,EQ-16,Routine check 416,UNASSIGNED,Normal,Normal,,,,
MWO-2026-417,EQ-17,Routine check 417,UNASSIGNED,Normal,Normal,,,,
MWO-2026-418,EQ-18,Routine check 418,UNASSIGNED,Normal,Normal,,,,
